,Commodity Group,Commodity,Op.,IMO,Vessel,Port,Arrived at Port,Sailed from Port,Berth,Tons,Coord.,Destination / Origin,Time at Port,Time at Berth,Shipper
30890,Grains,Maize,load,9769697,NANJING CONFIDENCE,San Lorenzo - Argentina,2022-11-19 09:18:00,2022-11-23 01:15:00,LDC Timbues,13744.63,Graneles Chile,Chile,3.66,1.51,Dreyfus
30891,Grains,Maize Par,load,9769697,NANJING CONFIDENCE,San Lorenzo - Argentina,2022-11-19 09:18:00,2022-11-23 01:15:00,LDC Timbues,8044.375,Graneles Chile,Chile,3.66,1.51,Mercantil Comercial SA
30892,Grains,Maize,load,9591545,SHANDONG HAI XING,San Lorenzo - Argentina,2022-11-21 09:00:00,2022-11-23 04:20:00,Cofco Int. PGSM South,39201.0,Cofco Int.,Vietnam,1.81,1.4,Dreyfus
30893,Grains,Maize,load,9266188,SEA LADY,San Lorenzo - Argentina,2022-11-22 14:40:00,2022-11-24 17:03:00,ADM AGRO San Lorenzo,39600.0,ADM,Morocco,2.1,1.79,ADM Agro
30894,Grains,Maize,load,9931549,MAYE MANX,San Lorenzo - Argentina,2022-11-23 09:00:00,2022-11-24 21:30:00,Renova-North,40000.0,Costa Atlantica,Peru,1.52,1.19,Viterra Argentina S.A
30895,Grains,Maize Par,load,9865233,ATLANTIC PRISM,San Lorenzo - Argentina,2022-11-23 07:45:00,2022-11-26 03:50:00,Quebracho,20894.74,Soprodi,Chile,2.84,2.45,Cargill Agrop
30896,Grains,Sorghum,load,9226750,OBS VENUS,San Lorenzo - Argentina,2022-11-24 16:55:00,2022-11-26 09:40:00,AGD Timbues,32698.58,Xiamen ITG Agricultural Products,China,1.7,1.43,Gear
30897,Grains,Maize,load,9669976,AHSOKA,San Lorenzo - Argentina,2022-11-24 11:30:00,2022-11-26 14:45:00,Cofco Int. PGSM South,26093.0,Cofco Int.,Colombia,2.14,1.87,Cofco Int. Arg.
30898,Grains,Maize,load,9842516,SM SANTOS,San Lorenzo - Argentina,2022-11-21 18:42:00,2022-11-26 16:00:00,Cofco Int. Timbues,16798.0,Cofco Int.,South Korea,4.89,3.75,Cofco Int. Arg.
30899,Grains,Maize Par,load,9842516,SM SANTOS,San Lorenzo - Argentina,2022-11-21 18:42:00,2022-11-26 16:00:00,Cofco Int. Timbues,20547.39,Cofco Int.,South Korea,4.89,3.75,Cofco Int. Parag.
30900,Grains,Maize,load,9303871,LEON,San Lorenzo - Argentina,2022-11-23 04:20:00,2022-11-27 23:10:00,Cofco Int. Timbues,21900.0,Graneles Chile,Chile,4.78,1.2,Cofco Int. Arg.
30901,Grains,Wheat,load,9303871,LEON,San Lorenzo - Argentina,2022-11-23 04:20:00,2022-11-27 23:10:00,Cofco Int. Timbues,6600.0,Graneles Chile,Chile,4.78,1.2,Cofco Int. Arg.
30902,Grains,Wheat,load,9659892,OCEAN INNOVATION,San Lorenzo - Argentina,2022-11-21 07:42:00,2022-11-28 10:15:00,ADM AGRO San Lorenzo,33000.0,ADM,Chile,7.11,3.6,ADM Agro
30903,Grains,Wheat,load,9553141,APOGEE ENDEAVOUR,San Lorenzo - Argentina,2022-11-24 06:50:00,2022-11-28 13:30:00,Renova-North,21187.0,Viterra,Brazil,4.28,2.57,Viterra Argentina S.A
30904,Grains,Maize,load,9708942,METSOVO,San Lorenzo - Argentina,2022-11-24 13:20:00,2022-11-30 14:55:00,San Benito,15000.0,ADM,Peru,6.07,1.14,Molinos Agro S.A
30905,Grains,Maize,load,9579327,FATIH,San Lorenzo - Argentina,2022-11-28 02:18:00,2022-11-29 22:15:00,Terminal 6-South,15807.0,Bunge,Lebanon,1.83,1.59,Bunge
30906,Grains,Maize Par,load,9660530,BAHRI BULK,San Lorenzo - Argentina,2022-11-27 09:30:00,2022-11-30 07:40:00,Quebracho,44323.08,Arasco,Saudi Arabia,2.92,2.58,Cargill Agrop
30907,Grains,Maize,load,9660530,BAHRI BULK,San Lorenzo - Argentina,2022-11-27 09:30:00,2022-11-30 07:40:00,Quebracho,4118.24,Arasco,Saudi Arabia,2.92,2.58,Cargill
30908,Grains,Maize,load,9708942,METSOVO,San Lorenzo - Argentina,2022-11-24 13:20:00,2022-11-30 14:55:00,Cofco Int. Timbues,9555.0,ADM,Peru,6.07,1.07,Cofco Int. Arg.
30909,Grains,Maize,load,9883364,OCEAN AMBITION,San Lorenzo - Argentina,2022-11-29 18:06:00,2022-12-04 23:30:00,ACA,33000.0,Cargill,Colombia,5.23,1.63,ACA
30910,Grains,Maize Par,load,9515694,KEN GIANT,San Lorenzo - Argentina,2022-11-29 11:36:00,2022-12-02 01:00:00,LDC Timbues,16200.0,Capezzana Shipping & Trading SA,Senegal,2.56,1.11,Dreyfus Paraguay
30911,Grains,Wheat,load,9594432,BONA,San Lorenzo - Argentina,2022-11-29 03:12:00,2022-12-02 20:45:00,Quebracho,27008.15,Grande Moinho Cearense,Brazil,3.73,1.0,Cargill
30912,Grains,Wheat,load,9343625,HA LONG BAY,San Lorenzo - Argentina,2022-12-01 12:40:00,2022-12-03 14:11:00,ACA Timbues,30748.71,Cipolin,Brazil,2.06,1.78,ACA
30913,Grains,Maize,load,9609677,PABARI,San Lorenzo - Argentina,2022-12-02 02:34:00,2022-12-03 16:35:00,Cofco Int. PGSM South,34705.0,Seaboard,Peru,1.58,1.28,Cofco Int. Arg.
30914,Grains,Maize Par,load,9450662,FOUR OTELLO,San Lorenzo - Argentina,2022-12-01 15:00:00,2022-12-04 01:13:00,Terminal 6-South,33000.0,Graneles Chile,Chile,2.43,1.23,CoPaGra
30915,Grains,Maize,load,9718739,ARSINOE,San Lorenzo - Argentina,2022-12-02 02:18:00,2022-12-04 02:20:00,Renova-North,44000.0,Sierentz,Vietnam,2.0,1.06,Viterra Argentina S.A
30916,Grains,Wheat,load,9675731,INLAND SEA,San Lorenzo - Argentina,2022-12-02 23:48:00,2022-12-04 03:30:00,Cofco Int. Timbues,25800.0,Seaboard,Peru,1.15,0.9,Cofco Int. Arg.
30917,Grains,Maize,load,9675731,INLAND SEA,San Lorenzo - Argentina,2022-12-02 23:48:00,2022-12-04 03:30:00,Cofco Int. Timbues,6600.0,Seaboard,Peru,1.15,0.9,Cofco Int. Arg.
30918,Grains,Wheat,load,9744764,TIZIANA,San Lorenzo - Argentina,2022-12-03 02:18:00,2022-12-04 07:20:00,Quebracho,19998.715,Cargill,Colombia,1.21,1.13,Cargill
